timestamp,dpid,port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_mbps,tx_mbps
2025-12-14 18:59:46,1,1,9,77,786,6310,0.0,0.002
2025-12-14 18:59:46,1,2,56,27,4612,2198,0.002,0.0
2025-12-14 18:59:46,1,3,14,69,1132,5678,0.0,0.002
2025-12-14 18:59:46,3,1,9,76,786,6224,0.0,0.002
2025-12-14 18:59:46,3,2,41,42,3350,3460,0.0,0.001
2025-12-14 18:59:46,3,3,28,55,2308,4502,0.001,0.001
2025-12-14 18:59:46,6,1,9,74,786,6068,0.0,0.001
2025-12-14 18:59:46,6,2,68,15,5568,1242,0.001,0.0
2025-12-14 18:59:46,5,1,9,75,786,6158,0.0,0.002
2025-12-14 18:59:46,5,2,69,14,5678,1132,0.002,0.0
2025-12-14 18:59:46,4,1,9,75,786,6138,0.001,0.001
2025-12-14 18:59:46,4,2,55,28,4502,2308,0.001,0.001
2025-12-14 18:59:46,4,3,15,68,1242,5568,0.0,0.001
2025-12-14 18:59:46,2,1,10,76,876,6224,0.0,0.002
2025-12-14 18:59:46,2,2,27,56,2198,4612,0.0,0.002
2025-12-14 18:59:46,2,3,42,41,3460,3350,0.001,0.0
2025-12-14 18:59:47,1,1,9,77,786,6310,0.0,0.0
2025-12-14 18:59:47,1,2,56,27,4612,2198,0.0,0.0
2025-12-14 18:59:47,1,3,14,69,1132,5678,0.0,0.0
2025-12-14 18:59:47,4,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:47,4,2,55,28,4502,2308,0.0,0.0
2025-12-14 18:59:47,4,3,15,68,1242,5568,0.0,0.0
2025-12-14 18:59:47,3,1,9,76,786,6224,0.0,0.0
2025-12-14 18:59:47,3,2,41,42,3350,3460,0.0,0.0
2025-12-14 18:59:47,3,3,28,55,2308,4502,0.0,0.0
2025-12-14 18:59:47,6,1,9,75,786,6138,0.0,0.001
2025-12-14 18:59:47,6,2,68,15,5568,1242,0.0,0.0
2025-12-14 18:59:47,2,1,10,76,876,6224,0.0,0.0
2025-12-14 18:59:47,2,2,27,56,2198,4612,0.0,0.0
2025-12-14 18:59:47,2,3,42,41,3460,3350,0.0,0.0
2025-12-14 18:59:47,5,1,9,75,786,6158,0.0,0.0
2025-12-14 18:59:47,5,2,69,14,5678,1132,0.0,0.0
2025-12-14 18:59:48,1,1,9,77,786,6310,0.0,0.0
2025-12-14 18:59:48,1,2,56,27,4612,2198,0.0,0.0
2025-12-14 18:59:48,1,3,14,69,1132,5678,0.0,0.0
2025-12-14 18:59:48,3,1,9,76,786,6224,0.0,0.0
2025-12-14 18:59:48,3,2,41,42,3350,3460,0.0,0.0
2025-12-14 18:59:48,3,3,28,55,2308,4502,0.0,0.0
2025-12-14 18:59:48,6,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:48,6,2,68,15,5568,1242,0.0,0.0
2025-12-14 18:59:48,5,1,9,75,786,6158,0.0,0.0
2025-12-14 18:59:48,5,2,69,14,5678,1132,0.0,0.0
2025-12-14 18:59:48,2,1,10,76,876,6224,0.0,0.0
2025-12-14 18:59:48,2,2,27,56,2198,4612,0.0,0.0
2025-12-14 18:59:48,2,3,42,41,3460,3350,0.0,0.0
2025-12-14 18:59:48,4,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:48,4,2,55,28,4502,2308,0.0,0.0
2025-12-14 18:59:48,4,3,15,68,1242,5568,0.0,0.0
2025-12-14 18:59:49,1,1,9,77,786,6310,0.0,0.0
2025-12-14 18:59:49,1,2,56,27,4612,2198,0.0,0.0
2025-12-14 18:59:49,1,3,14,69,1132,5678,0.0,0.0
2025-12-14 18:59:49,2,1,10,76,876,6224,0.0,0.0
2025-12-14 18:59:49,2,2,27,56,2198,4612,0.0,0.0
2025-12-14 18:59:49,2,3,42,41,3460,3350,0.0,0.0
2025-12-14 18:59:49,6,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:49,6,2,68,15,5568,1242,0.0,0.0
2025-12-14 18:59:49,4,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:49,4,2,55,28,4502,2308,0.0,0.0
2025-12-14 18:59:49,4,3,15,68,1242,5568,0.0,0.0
2025-12-14 18:59:49,5,1,9,75,786,6158,0.0,0.0
2025-12-14 18:59:49,5,2,69,14,5678,1132,0.0,0.0
2025-12-14 18:59:49,3,1,9,76,786,6224,0.0,0.0
2025-12-14 18:59:49,3,2,41,42,3350,3460,0.0,0.0
2025-12-14 18:59:49,3,3,28,55,2308,4502,0.0,0.0
2025-12-14 18:59:50,1,1,9,77,786,6310,0.0,0.0
2025-12-14 18:59:50,1,2,56,27,4612,2198,0.0,0.0
2025-12-14 18:59:50,1,3,14,69,1132,5678,0.0,0.0
2025-12-14 18:59:50,2,1,10,76,876,6224,0.0,0.0
2025-12-14 18:59:50,2,2,27,56,2198,4612,0.0,0.0
2025-12-14 18:59:50,2,3,42,41,3460,3350,0.0,0.0
2025-12-14 18:59:50,4,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:50,4,2,55,28,4502,2308,0.0,0.0
2025-12-14 18:59:50,4,3,15,68,1242,5568,0.0,0.0
2025-12-14 18:59:50,3,1,9,76,786,6224,0.0,0.0
2025-12-14 18:59:50,3,2,41,42,3350,3460,0.0,0.0
2025-12-14 18:59:50,3,3,28,55,2308,4502,0.0,0.0
2025-12-14 18:59:50,5,1,9,75,786,6158,0.0,0.0
2025-12-14 18:59:50,5,2,69,14,5678,1132,0.0,0.0
2025-12-14 18:59:50,6,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:50,6,2,68,15,5568,1242,0.0,0.0
2025-12-14 18:59:51,1,1,9,77,786,6310,0.0,0.0
2025-12-14 18:59:51,1,2,56,27,4612,2198,0.0,0.0
2025-12-14 18:59:51,1,3,14,69,1132,5678,0.0,0.0
2025-12-14 18:59:51,6,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:51,6,2,68,15,5568,1242,0.0,0.0
2025-12-14 18:59:51,2,1,10,76,876,6224,0.0,0.0
2025-12-14 18:59:51,2,2,27,56,2198,4612,0.0,0.0
2025-12-14 18:59:51,2,3,42,41,3460,3350,0.0,0.0
2025-12-14 18:59:51,5,1,9,75,786,6158,0.0,0.0
2025-12-14 18:59:51,5,2,69,14,5678,1132,0.0,0.0
2025-12-14 18:59:51,4,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:51,4,2,55,28,4502,2308,0.0,0.0
2025-12-14 18:59:51,4,3,15,68,1242,5568,0.0,0.0
2025-12-14 18:59:51,3,1,9,76,786,6224,0.0,0.0
2025-12-14 18:59:51,3,2,41,42,3350,3460,0.0,0.0
2025-12-14 18:59:51,3,3,28,55,2308,4502,0.0,0.0
2025-12-14 18:59:52,1,1,9,77,786,6310,0.0,0.0
2025-12-14 18:59:52,1,2,56,27,4612,2198,0.0,0.0
2025-12-14 18:59:52,1,3,14,69,1132,5678,0.0,0.0
2025-12-14 18:59:52,6,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:52,6,2,68,15,5568,1242,0.0,0.0
2025-12-14 18:59:52,5,1,9,75,786,6158,0.0,0.0
2025-12-14 18:59:52,5,2,69,14,5678,1132,0.0,0.0
2025-12-14 18:59:52,2,1,10,76,876,6224,0.0,0.0
2025-12-14 18:59:52,2,2,27,56,2198,4612,0.0,0.0
2025-12-14 18:59:52,2,3,42,41,3460,3350,0.0,0.0
2025-12-14 18:59:52,4,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:52,4,2,55,28,4502,2308,0.0,0.0
2025-12-14 18:59:52,4,3,15,68,1242,5568,0.0,0.0
2025-12-14 18:59:52,3,1,9,76,786,6224,0.0,0.0
2025-12-14 18:59:52,3,2,41,42,3350,3460,0.0,0.0
2025-12-14 18:59:52,3,3,28,55,2308,4502,0.0,0.0
2025-12-14 18:59:53,1,1,9,77,786,6310,0.0,0.0
2025-12-14 18:59:53,1,2,56,27,4612,2198,0.0,0.0
2025-12-14 18:59:53,1,3,14,69,1132,5678,0.0,0.0
2025-12-14 18:59:53,4,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:53,4,2,55,28,4502,2308,0.0,0.0
2025-12-14 18:59:53,4,3,15,68,1242,5568,0.0,0.0
2025-12-14 18:59:53,2,1,10,76,876,6224,0.0,0.0
2025-12-14 18:59:53,2,2,27,56,2198,4612,0.0,0.0
2025-12-14 18:59:53,2,3,42,41,3460,3350,0.0,0.0
2025-12-14 18:59:53,6,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:53,6,2,68,15,5568,1242,0.0,0.0
2025-12-14 18:59:53,5,1,9,75,786,6158,0.0,0.0
2025-12-14 18:59:53,5,2,69,14,5678,1132,0.0,0.0
2025-12-14 18:59:53,3,1,9,76,786,6224,0.0,0.0
2025-12-14 18:59:53,3,2,41,42,3350,3460,0.0,0.0
2025-12-14 18:59:53,3,3,28,55,2308,4502,0.0,0.0
2025-12-14 18:59:54,1,1,9,77,786,6310,0.0,0.0
2025-12-14 18:59:54,1,2,56,27,4612,2198,0.0,0.0
2025-12-14 18:59:54,1,3,14,69,1132,5678,0.0,0.0
2025-12-14 18:59:54,2,1,10,76,876,6224,0.0,0.0
2025-12-14 18:59:54,2,2,27,56,2198,4612,0.0,0.0
2025-12-14 18:59:54,2,3,42,41,3460,3350,0.0,0.0
